,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
ripndipclothing.com,found,RIPNDIP,"Rip N Dip, Inc.",ripndipclothing.com,,,"+1 510-843-1863,+1 206-320-1252,+1 808-585-8538,+1 308-660-5501,+1 407-380-7427,+1 303-860-1303,+1 423-305-0492,+1 562-856-3685,+1 512-340-0225,+1 714-828-4226",info@ripndipclothing.com,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,56,42,"E-commerce,Consumer Staples,B2C","RipNDip Clothing, Accessories, And Footwear That You Must Have. RIPNDIP Tees, Socks, Accessories, Lord Nermal, Slides, Shoes, Jackets, Hoodies, And More! We Bad.",,,,,,,,,,,,,,,,,ripndipclothing,,RIPNDIP,78989693,INSTAGRAM: @RIPNDIP INFO@RIPNDIPCLOTHING.COM SNAPCHAT:WEBAD,57747,2047,Los Angeles,https://t.co/2HoUUXVbrW,https://pbs.twimg.com/profile_images/920726243955245056/CoBebfRu_normal.jpg,,FALSE,private,,,,,10388,,,,,,,,"cloud_flare,godaddy_nameserver,klaviyo,amazon_s3,amazon_payments,youtube,google_tag_manager,shopify,facebook_advertiser,google_analytics,conversio",
childofwild.com,found,Child of Wild,Child of Wild Inc,childofwild.com,,,,"pr@childofwild.com,wholesale@childofwild.com,sales@childofwild.com,info@childofwild.com",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,59,45,"E-commerce,Consumer Discretionary,Retail,B2C","Eclectic and Cultural Jewelry and Objects, Vintage Native American Jewelry, Designed Cow Skulls, Sterling Silver Turquoise Rings, One of a kind oddities",,"5376 Napa St, San Diego, CA 92110-2616, US",America/Los_Angeles,-8,5376,Napa St,,San Diego,92110,California,CA,United States,US,32.76506,-117.19645,,childofwild,company/child-of-wild,,,,,,,,,,FALSE,private,,,,,53797,5,10-Jan,,,,$0-$1M,,"google_apps,cloud_flare,godaddy_nameserver,amazon_s3,shopify,facebook_advertiser,google_analytics,conversio,privy,google_tag_manager",
jeffreestarcosmetics.com,found,Jeffree Star,"Jeffree Star Cosmetics, LLC",jeffreestarcosmetics.com,jeffreestarcosmetics.co,,,customerservice@jeffreestarcosmetics.com,Consumer Staples,Household & Personal Products,Personal Products,Cosmetics,59,45,"E-commerce,Cosmetics,Consumer Discretionary,B2C",Jeffree Star Cosmetics is an American cosmetics company founded and owned by Jeffree Star.,2014,"Los Angeles, CA, USA",America/Los_Angeles,-8,,,,Los Angeles,,California,CA,United States,US,34.0522342,-118.2436849,https://logo.clearbit.com/jeffreestarcosmetics.com,jeffreestar,,JeffreeStar,18236230,Self-Made. Makeup Magician. CEO. Owner of Jeffree Star Cosmetics ðŸ’¦ Wife to Nathan. Singer/Songwriter. Co-Owner of Killer Merch.,5759566,88,"Calabasas, CA",https://t.co/2MA2rnQc0I,https://pbs.twimg.com/profile_images/1189657060582944768/U4hu4W03_normal.jpg,,FALSE,private,,,,170,1636,50,11-50,,,,,,"google_apps,cloud_flare,godaddy_nameserver,amazon_s3,amazon_payments,microsoft_office_365,help_scout,alexa,hotjar,shopify,facebook_advertiser,google_analytics,google_tag_manager",
giuliofashion.com,found,Giulio Fashion,,giuliofashion.com,,,,"enquiries@giuliofashion.com,giulio.store@giuliofashion.com",Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,56,42,"E-commerce,Consumer Staples,Apparel & Footwear,B2C","Established in 1982, GIULIO is home to luxury & contemporary fashion for men and women in Cambridge, UK. Shop in our store or online for the finest designer clothing, footwear and accessories. Stockists of Gucci, Christian Louboutin, Off-White, Givench...",1982,"24 King St, Cambridge CB1, UK",Europe/London,0,24,King Street,,Cambridge,CB1,Cambridgeshire,,United Kingdom,GB,52.2073475,0.1229951,https://logo.clearbit.com/giuliofashion.com,giuliofashion,,giuliofashion,550184104,Cambridge boutique presenting the most desirable luxury & contemporary fashion | In store & online shopping | Instagram @giuliofashion | Facebook @giuliofashion,894,196,"Cambridge, England",https://t.co/y5CowuigR1,https://pbs.twimg.com/profile_images/643728596482289669/9Se2SfTc_normal.jpg,,FALSE,private,,,,,7878,,,,,,,,"cloud_flare,microsoft_exchange_online,outlook,microsoft_office_365,google_analytics,shopify",
gymshark.com,found,Gymshark,Gymshark Ltd,gymshark.com,"gymshark.online,gymshark.international,gymshark.org.uk,gymshark.guru,gymshark.club,gymshark.biz,gymshark.shopping,gymshark.fitness,gymshark.support,gymshark.media,gymshark.me,gymshark.info,gymshark.org,gymshark.company,gymshark.training,gymshark.fr,gymshark.work,gymshark.us,gymshark.education,gymshark.tv,gymshark.mobi,gymshark.in,gymshark.pro,gymshark.no,gym.sh,gymshark.uk,gymshark.se,gymshark.dk,gymshark.co.uk,gymshark.care,gymshark.ca",,,"press@gymshark.com,corporate@gymshark.com,mydata@gymshark.com,support@gymshark.com,dpo@gymshark.com",Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,56,42,"E-commerce,Consumer Staples,Sporting Goods,B2C","Shop Gymsharkâ€™s range of unique workout essentials, exclusively online. Quality gym wear. Free returns & free shipping on orders over $75.",,"Trigen House, 3 Central Blvd, Solihull B90 8AB, UK",Europe/London,0,3,Central Boulevard,,Solihull,B90 8AB,West Midlands,,United Kingdom,GB,52.371943,-1.797889,https://logo.clearbit.com/gymshark.com,gymshark,company/gymshark,Gymshark,842452904,"The official Twitter page for the latest on Gymshark releases, athletes and events. Be A Visionary. 
Customer Support | @Gymshark_Help.
News | @GymsharkCentral.",231432,47,"Birmingham, England",http://t.co/l5uRMkOeKN,https://pbs.twimg.com/profile_images/1039095965108580352/gCykGAhv_normal.jpg,,FALSE,private,,,,,5978,360,251-1K,,,,,,"new_relic,cloud_flare,live_chat,nosto,double_click,microsoft_exchange_online,maxmind,outlook,microsoft_office_365,google_remarketing,google_adwords,mandrill,google_tag_manager,shopify,facebook_advertiser,google_analytics,conversio",
reddressboutique.com,found,Red Dress Boutique,,reddressboutique.com,,,"+1 706-425-8707,+1 706-369-5823",customerservice@reddressboutique.com,Consumer Discretionary,Retailing,Retailing,Retailing,56,42,"E-commerce,Retail,Consumer Staples,B2C","Dress to impress with Red Dress Boutique's unique collection of stylish dresses, shoes, tops, accessories, and more! From timeless classics to bold statement pieces, shop our latest style trends and limited edition items. âœ“Going Fast!",2005,"240 Collins Ind Blvd, Athens, GA 30601, USA",America/New_York,-5,240,Collins Ind Boulevard,,Athens,30601,Georgia,GA,United States,US,33.9790514,-83.3596452,https://logo.clearbit.com/reddressboutique.com,thereddressboutique,company/the-red-dress-boutique,,,,,,,,,,FALSE,private,,,,1210,7370,45,11-50,,,,,,"chart_beat,cloud_flare,godaddy_nameserver,amazon_s3,amazon_payments,zopim,yotpo,alexa,steel_house,shopify,emarsys,pinterest,facebook_advertiser,google_analytics,conversio,google_tag_manager",
lakenzie.com,found,,,lakenzie.com,,,,,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,56,42,"E-commerce,Consumer Discretionary,B2C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,private,,,,,21867,,,,,,,,"google_apps,cloud_flare,godaddy_nameserver,amazon_s3,youtube,optimonk,shopify,vimeo,go_squared,facebook_advertiser,google_analytics,privy",
swaggsauce.com,found,AZ Swagg Sauce,AZ Swagg Sauce LLC,swaggsauce.com,,,+1 602-559-4054,,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,21,32,"E-commerce,Consumer Discretionary,B2C","Swagg Sauce, manufacturer of the finest premium vape juice and salt nicotine ingredients crafted with our signature flavor blends and eliquid online. Premium grade vape juice, candy, cream, custard, dessert, fruit, tobacco, menthol and more.",,"13646 N 19th Ave, Phoenix, AZ 85029, USA",America/Phoenix,-7,13646,North 19th Avenue,,Phoenix,85029,Arizona,AZ,United States,US,33.6097168,-112.100516,,habibivape,,,,,,,,,,,FALSE,private,,,,31005,64415,,,,,,,,"cloud_flare,godaddy_nameserver,microsoft_exchange_online,outlook,microsoft_office_365,shopify,twitter_button,facebook_advertiser,google_analytics,adroll,google_tag_manager",
fab.com,found,Fab.com,Luidin Connected Ltd.,fab.com,,,,support@fab.com,Information Technology,Software & Services,Internet Software & Services,Internet,28,32,"E-commerce,Internet,B2C,Mobile",Fab is an e-commerce company founded in 2010.,2010,"New York, NY 10001, USA",America/New_York,-5,,,,New York,10001,New York,NY,United States,US,40.7536854,-73.9991637,https://logo.clearbit.com/fab.com,fab.com,company/fab-com,Fab,188844665,"At Fab we create & curate collections of health, fitness & wellness products with one goal in mind. To help you live your #fab life.",70051,41799,The Internet,http://t.co/AyLyx4STSm,https://pbs.twimg.com/profile_images/883724096172834817/YInTY-yM_normal.jpg,organization/fab-com,FALSE,private,,,,3628,14168,230,51-250,,336375000,,$10M-$50M,,"google_apps,cloud_flare,godaddy_nameserver,sendgrid,intercom,vimeo,amazon_ses,shopify,facebook_advertiser,hotjar,facebook_connect,klaviyo,google_analytics,conversio,google_tag_manager",
balr.jp,found,BALR.,,balr.jp,,,,,,,,,,,,The Official Twitter-account of BALR. - A luxurious lifestyle brand. #balr #teambalr,,Japan,Asia/Tokyo,9,,,,,,,,Japan,JP,36.204824,138.252924,https://logo.clearbit.com/balr.jp,,,balr,1524800198,The Official Twitter-account of BALR. - A luxurious lifestyle brand. #balr #teambalr,33229,1238,Worldwide,https://t.co/XvECh6veXO,https://pbs.twimg.com/profile_images/1100060796745367552/edeQNE4E_normal.jpg,,FALSE,private,,,,,21976,,,,,,,,"cloud_flare,amazon_s3,google_tag_manager,shopify,google_analytics",
inspireuplift.com,found,Inspire Uplift,,inspireuplift.com,,,+1 800-395-7501,contact@inspireuplift.com,Information Technology,Software & Services,Internet Software & Services,Internet,87,54,"Internet,Web Services & Apps,Technology,B2C,Mobile","From home good products to beauty and health gear, to clothing and electronics, you can find a wide variety of goodies that will inspire you to live your best life. And if you donâ€™t want to leave out your furry friends, we even have a section of innova...",,"5335 NW 87th Ave #388, Doral, FL 33178-2833, US",America/New_York,-5,5335,NW 87th Ave,388,Doral,33178,Florida,FL,United States,US,25.82038,-80.33693,https://logo.clearbit.com/inspireuplift.com,inspireuplift,,inspireuplift,9.63E+17,"From crazy to creative! You'll love these problem solving products! #inspireuplift
ðŸ’¬ 24/7 Live Chat: https://t.co/7RFTKcIXJG",6146,7,Free Shipping Worldwide! ðŸ“¦,https://t.co/Z8eUwFTpqy,https://pbs.twimg.com/profile_images/962908260218081280/eTHrssSX_normal.jpg,,FALSE,private,,,,6671,12160,20,11-50,,,,,,"twitter_button,cloud_flare,godaddy_nameserver,klaviyo,microsoft_exchange_online,google_adsense,taboola_ads,amazon_s3,outlook,microsoft_office_365,steel_house,facebook_connect,talkable,shopify,justuno,trustpilot,tawk,facebook_advertiser,google_analytics,conversio,criteo,google_tag_manager",
thirdlove.com,found,ThirdLove,Thirdlove Inc,thirdlove.com,"thirdlove.org,thirdlove.co",,"+1 866-205-6833,+1 415-692-0089",,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",56,42,"E-commerce,Apparel & Footwear,Internet,Technology,Consumer Discretionary,B2C","The best bra is one you never think about. Find your perfect fit today. Available in cup sizes AA through I, bands 30 to 48, including our signature 1/2 Cupâ„¢ sizes.",2013,"San Francisco, CA 94107, USA",America/Los_Angeles,-8,,,,San Francisco,94107,California,CA,United States,US,37.7618242,-122.3985871,https://logo.clearbit.com/thirdlove.com,thirdlove,company/thirdlove,ThirdLove,749772996,Bras and underwear for every body. #ToEachHerOwn,16513,1215,"San Francisco, CA",https://t.co/0CNcR726od,https://pbs.twimg.com/profile_images/1038149816293908481/w8_LB5YM_normal.jpg,organization/thirdlove,FALSE,private,,,,5987,24569,310,251-1K,,68600000,,$10M-$50M,,"google_apps,heap,aws_route_53,cloud_flare,dynamic_yield,zendesk,amazon_payments,swell_rewards,google_analytics,mandrill,google_tag_manager,mailgun,shopify,bing_advertiser,bugsnag,appboy,jw_player,facebook_advertiser,hotjar,conversio,criteo",
beeinspiredclothing.com,found,Bee Inspired Clothing,,beeinspiredclothing.com,,,,support@beeinspiredclothing.com,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,56,42,"E-commerce,Consumer Staples,Apparel & Footwear,B2C","B33 Designer Global Streetwear Brand Available Worldwide. The Freshest Styles, Inspired By Life. Premium Footwear, Jeans, Tees, Jackets, Hoods & Sweats.",2013,"211 Maclellan St, Glasgow G41 1RR, UK",Europe/London,0,211,Maclellan Street,,Glasgow,G41 1RR,Glasgow City,,United Kingdom,GB,55.8493299,-4.294419,https://logo.clearbit.com/beeinspiredclothing.com,2.34E+14,company/bee-inspired-clothing,BeeBeeinspired,1430141526,International Mens Streetwear Brand ðŸŒ AW19 New Releases Online Now ðŸ”¥ Worldwide Delivery ðŸ’¯ #beeinspiredclothing,17512,9769,Front Row Seat,https://t.co/2dT4zIsnse,https://pbs.twimg.com/profile_images/1071042720527978502/rq02LWKR_normal.jpg,,FALSE,private,,,,,6821,5,10-Jan,,,,,,"cloud_flare,nosto,double_click,trustpilot,amazon_s3,amazon_payments,google_remarketing,adroll,google_adwords,facebook_connect,shopify,facebook_advertiser,zopim,google_analytics,criteo,google_tag_manager",
sisterjane.com,found,Sister Jane,,sisterjane.com,"sisterjane.com.tw,sisterjane.co.uk",,+44 20 7148 0791,"hello@sisterjane.com,wholesale@sisterjane.com,press@sisterjane.com",Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,56,42,"E-commerce,Consumer Staples,Technology,Internet,Apparel & Footwear,B2C",London-based womenswear label. Vintage-inspired accessible design with a high-end look & feel.,2009,"59A Portobello Rd, London W11 3DB, UK",Europe/London,0,59A,Portobello Road,,London,W11 3DB,Greater London,,United Kingdom,GB,51.5120233,-0.2008388,https://logo.clearbit.com/sisterjane.com,dreamsisterjane,company/sister-jane,dreamsisterjane,400205675,"London-based fashion brand 
New in: ðŸ¥€ #TheRoseBoudoir ðŸ¥€
Shop Now: https://t.co/mftVs4bKP5",2612,588,London,https://t.co/UtjpzLxBQt,https://pbs.twimg.com/profile_images/645983608772165632/uyYrySut_normal.jpg,,FALSE,private,,,,,10853,10,10-Jan,,,,$1M-$10M,,"google_apps,cloud_flare,zendesk,amazon_s3,shopify,twitter_button,facebook_advertiser,google_analytics",
kingice.com,found,King Ice,,kingice.com,"kingice.us,kingice.org",,+1 626-339-3642,"sales@kingice.com,SALES@KINGICE.COM,Sales@KingIce.com",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,56,42,"E-commerce,Consumer Discretionary,Retail,B2C","King Ice offers high quality hip hop jewelry exclusively designed inspired by urban culture. Find the latest in streetwear jewelry, hip hop style chains, bling earrings, bracelets, pendants, watches & more at King Ice.",2002,"Los Angeles, CA, USA",America/Los_Angeles,-8,,,,Los Angeles,,California,CA,United States,US,34.0522342,-118.2436849,https://logo.clearbit.com/kingice.com,officialkingice,company/www-kingice-com,officialKingIce,75324449,Premium Jewelry and Accessories made for royalty. Hashtag #KingIce to be featured in our story.,9116,66,Los Angeles,https://t.co/c7qR9kvF7q,https://pbs.twimg.com/profile_images/831350018258853888/j_pu5Zpy_normal.jpg,,FALSE,private,,,,,17780,30,11-50,,,,$1M-$10M,,"rackspace_email,cloud_flare,godaddy_nameserver,amazon_payments,youtube,zopim,google_analytics,shopify,klaviyo,facebook_advertiser,conversio,google_tag_manager",
aloyoga.com,found,Alo Yoga,ALO LLC,aloyoga.com,"aloyoga.news,aloyoga.org,aloyoga.xyz,pleaserecycleme.us,aloyoga.clothing,aloapperal.com,aloyoga.yoga,aloyoga.net,aloyoga.co,aloapparel.net,alowear.com,pleaserecycleme.org,pleaserecycleme.info,aloyoga.guru,pleaserecycleme.net,aloyoga.online,alogear.net",,"+1 855-793-3100,+1 323-248-7531,+1 424-223-5707,+1 646-350-4844,+1 323-285-3765,+1 424-252-2660,+1 310-295-1860,+1 718-395-4125,+1 800-778-7879","support@aloyoga.com,pr@aloyoga.com",,,,,56,42,"E-commerce,B2C","Shop the best yoga wear & accessories for yoga and working out. Wear-tested by yogis for the best fit. Shop celeb-approved yoga pants, workout tights, leggings, capris & lounge for women & men at aloyoga.com.",,"6670 Flotilla St, Commerce, CA 90040, USA",America/Los_Angeles,-8,6670,Flotilla Street,,Commerce,90040,California,CA,United States,US,34.0049175,-118.1292748,https://logo.clearbit.com/aloyoga.com,aloclothing,company/al-yoga-club,aloyoga,36832167,Spreading mindful movement. Making exceptional yoga clothing. Building community around the ðŸŒŽ. And take yoga beyond the studio & into the street.,26848,19,Los Angeles,https://t.co/jQWQwmitfK,https://pbs.twimg.com/profile_images/738071522837823488/tUYkrXpf_normal.jpg,organization/alo-yoga,FALSE,private,,,,,20001,,,,,,,,"heap,visual_website_optimizer,cloud_flare,godaddy_nameserver,microsoft_exchange_online,postmark,mailchimp,amazon_s3,amazon_payments,outlook,youtube,microsoft_office_365,mandrill,amazon_ses,facebook_connect,talkable,google_tag_manager,salesforce,shopify,recaptcha,fullstory,sentry,facebook_advertiser,google_analytics,conversio",
usatuan.com,found,,,usatuan.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,private,,,,2488,5988,,,,,,,,"cloud_flare,godaddy_nameserver,shopify,twitter_button",
