,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
54,dezzn.com,subdomains,23.227.38.32,,0,100818462,34,5,0,0,25,24,5,125,121,112,4,0,0,0,0,0,47,12
55,behearty.com,subdomains,23.227.38.32,,1,53542838,72,17,0,0,65,62,6,722,696,638,26,27,0,0,0,0,227,37
56,kyliecosmetics.com,subdomains,23.227.38.32,,73,49067,7360,6175,0,6,5453,3595,38,124985,109355,19937,15618,7109,4,6,0,15,137177,1156606
57,vapor.com,subdomains,23.227.38.32,,71,79554,2526,1776,0,20,2064,1637,158,417802,308805,32416,108704,180648,22,259,0,68,35598,84875
58,ttrshop.net,subdomains,23.227.38.65,,0,96130895,3,2,0,0,4,4,4,5,5,3,0,0,0,0,0,0,3,1
59,giovoss.store,subdomains,23.227.38.65,,2,42051202,24,3,0,0,21,18,7,919,782,41,137,20,0,0,0,0,174,501
60,triple-deal.com,subdomains,23.227.38.65,,5,27283381,62,43,0,0,62,58,19,953,326,45,627,12,0,0,0,0,104,7
61,livefitapparel.com,subdomains,23.227.38.32,,35,2373587,510,375,0,1,484,423,42,48820,48811,1424,7,85,0,0,0,13,6089,28822
62,zoofashions.com,subdomains,23.227.38.32,,20,7924527,127,73,0,1,152,145,16,51108,51059,1807,49,46295,0,0,0,3,4071,2238
63,buffy.co,subdomains,23.227.38.32,,53,445823,688,517,0,1,686,568,43,7062,6994,3290,68,386,0,0,0,2,6624,9664
64,blacktailor.store,subdomains,23.227.38.65,,0,62884524,49,8,0,0,41,38,9,214,211,168,3,4,0,0,0,0,1174,885
65,guapi.ch,subdomains,23.227.38.32,,3,33834929,45,7,0,0,41,40,12,977,268,171,709,2,0,0,0,0,214,687
66,davinks.com,subdomains,,,,,12,0,0,0,13,12,0,73,73,73,0,0,0,0,0,0,0,0
67,techdudes561.com,subdomains,23.227.38.65,,0,153194386,9,1,0,0,9,8,0,38,38,35,0,4,0,0,0,0,267,4
68,sinnersattire.com,subdomains,23.227.38.32,,28,4438374,135,85,0,1,133,123,17,619,615,276,0,41,0,4,0,1,2396,6590
69,nomatic.com,subdomains,23.227.38.32,,51,554409,787,514,0,1,739,629,263,18383,18244,15520,136,298,0,0,0,4,9573,31393
70,bombas.com,subdomains,23.227.38.32,,72,55972,2849,2232,1,13,2395,1833,17,66033,65779,28015,252,19253,0,2,1,66,38426,100819
71,culturekings.com.au,subdomains,23.227.38.32,,57,313323,960,706,2,4,906,766,409,14174511,14173985,4976,512,64736,13,1,164021,48,194522,288337
72,keilhub.com,subdomains,23.227.38.65,,0,58369523,20,10,0,0,22,22,3,414,410,283,2,130,2,0,0,0,121,3
73,urbanindustry.co.uk,subdomains,23.227.38.32,,43,1066201,1160,818,0,2,972,834,249,45883,41571,5796,72,4583,4,0,0,17,19088,39976
74,unifclothing.com,subdomains,23.227.38.32,,47,819140,1684,1459,0,6,1142,965,14,193760,193649,8795,106,115668,0,3,0,44,11792,150613
75,wearfigs.com,subdomains,23.227.38.32,,56,335510,1521,624,0,3,899,724,28,12706,12396,7050,285,3287,0,0,0,10,26071,73418
76,hawkersco.com,subdomains,23.227.38.32,,62,192330,1703,1353,0,12,1379,1064,45,81331,81201,4602,128,28920,0,2,0,49,28428,203580
77,citiesocial.com,subdomains,23.227.38.32,,55,358057,726,591,0,4,620,537,82,36325,36206,13963,115,15912,2,0,0,26,12613,23550
78,shirtz.cool,subdomains,23.227.38.32,,15,11187954,381,140,0,0,390,340,8,4520,4447,3024,73,27,0,0,0,0,10429,24537
79,eightvape.com,subdomains,23.227.38.32,,40,1402046,649,275,1,24,568,469,117,18543,18405,5713,107,161,2,29,1,46,84398,196387
80,rhinoshield.fr,subdomains,23.227.38.32,,28,4181722,413,301,0,2,408,352,25,75077,74950,1279,127,13883,0,0,0,2026,30434,115857
81,carolazeta.com,subdomains,23.227.38.65,,5,25485679,56,23,0,0,44,44,30,3083,3082,2966,1,7,0,0,0,0,2224,44
82,overtone.co,subdomains,23.227.38.32,,49,683875,898,610,0,1,788,632,38,5509,5402,1978,107,900,0,0,0,4,44525,89224
83,knockaround.com,subdomains,23.227.38.32,,52,520614,1050,832,0,2,863,728,928,21214,20755,8159,406,4632,0,51,0,77,28765,56397
84,rhone.com,subdomains,23.227.38.32,,66,131608,1100,810,0,2,1016,872,258,10373,10236,3416,118,2725,0,0,0,2,27717,27878
85,thesill.com,subdomains,23.227.38.32,,70,87130,2017,1657,0,2,1611,1243,28,19206,19100,6965,102,2537,0,0,0,7,39306,75322
86,diffeyewear.com,subdomains,23.227.38.32,,64,170605,1118,854,0,4,842,652,52,15695,15492,6339,202,5004,0,1,0,10,10303,19017
87,shethinx.com,subdomains,23.227.38.32,,73,45572,4934,4230,0,14,3920,2818,1141,41385,39678,11098,1043,4263,0,642,0,62,48351,133651
88,factoryoutletstore.com,subdomains,23.227.38.32,,60,232530,2115,1290,0,5,1825,1335,47,100205,96503,16081,3634,8602,3,13,0,9,79159,20895
89,blenderseyewear.com,subdomains,23.227.38.32,,55,391264,728,513,0,1,695,582,297,62576,62244,2703,321,21417,0,11,0,75,22572,38234
90,vapordna.com,subdomains,23.227.38.32,,72,63869,1548,1051,0,1,1345,1052,54,687324,685523,68103,1798,146678,0,3,0,6,125096,367761
91,chubbiesshorts.com,subdomains,23.227.38.32,,71,75450,1863,1425,0,3,1550,1264,37,12682,12281,3196,396,2489,5,0,0,29,49247,138732
92,rxmance.com,subdomains,23.227.38.32,,5,25709670,61,42,0,0,58,56,7,2038,2038,190,0,23,0,0,0,0,319,111
93,stateofescape.com,subdomains,23.227.38.32,,46,902051,317,272,0,1,239,210,32,1543,1528,447,14,37,0,0,0,2,1283,4218
94,hatandbeyond.com,subdomains,23.227.38.32,,0,66976021,48,2,0,1,35,33,13,165,165,163,0,4,0,0,0,1,1871,954
95,summersalt.com,subdomains,23.227.38.32,,51,546374,763,613,0,1,641,519,586,7548,7454,1719,88,732,1,0,0,1,11491,12671
96,lovepopcards.com,subdomains,23.227.38.32,,65,148415,1332,893,0,10,1272,1022,291,22502,22357,7161,142,2928,0,0,0,37,71312,104587
97,smokecartel.com,subdomains,23.227.38.32,,58,270814,1325,663,3,2,1031,831,63,1104595,1102927,188218,1514,195016,45,96,4,2,46828,96230
98,famovape.com,subdomains,23.227.38.32,,10,16922148,50,25,0,0,54,51,54,1462,1455,270,6,14,0,1,0,0,401,287
99,ruggable.com,subdomains,23.227.38.32,,45,944419,543,346,1,4,505,417,30,3941,3847,1154,89,276,4,0,2,8,19996,25887
100,augustethelabel.com,subdomains,23.227.38.32,,43,1124020,428,338,0,0,370,323,148,4877,4849,517,23,389,0,5,0,0,4310,10605
101,boucherouiterug.com,subdomains,23.227.38.32,,13,13120794,186,69,0,1,161,136,14,604,603,262,0,5,0,0,0,1,340,43
102,ridgewallet.com,subdomains,23.227.38.32,,51,599377,1201,639,0,1,1235,977,101,41549,41150,8521,394,27412,1,0,0,2,19242,24608
103,nakedwolfe.com,subdomains,23.227.38.32,,23,6849224,177,117,0,0,172,150,6,1636,1630,269,6,38,0,0,0,0,6276,6105
104,dagnedover.com,subdomains,23.227.38.32,,55,379952,1332,1084,0,3,1126,914,8,54716,54483,2963,230,1075,2,1,0,49,17192,28700
105,accessoryplace.com,subdomains,23.227.38.32,,1,53631795,15,5,0,0,17,17,5,66,62,50,4,0,0,0,0,0,304,15
106,rayconglobal.com,subdomains,23.227.38.32,,35,2212786,580,310,0,0,644,543,41,11817,11377,6553,440,22,0,0,0,0,11187,26677
107,rebeccaminkoff.com,subdomains,23.227.38.32,,73,49246,8341,7570,1,7,4953,3620,33,626359,620127,207542,3521,30967,2,72,1,1262,36088,55174
108,flatspot.com,subdomains,23.227.38.32,,43,1128559,1388,1066,0,4,1108,966,37,79216,77699,6783,1510,2665,2,0,0,69,23860,48715
109,bohme.com,subdomains,23.227.38.32,,43,1088916,674,459,0,0,548,460,27,14965,14859,3666,106,1467,0,0,0,0,13412,30068
110,thechivery.com,subdomains,23.227.38.32,,49,676973,1103,795,0,2,925,764,64,346133,345409,3911,718,97471,2,1,0,169,25240,269474
111,puravidabracelets.com,subdomains,23.227.38.32,,72,53897,2676,2065,0,3,1966,1452,683,146726,146304,13179,410,118090,0,8,0,7,65859,209952
112,misfitsmarket.com,subdomains,23.227.38.32,,53,438878,560,441,0,1,498,423,27,2273,2265,469,5,542,2,0,0,1,15390,29528
113,mightyskins.com,subdomains,23.227.38.32,,40,1331830,375,199,0,11,390,356,189,12840,12835,1016,3,1210,2,0,0,108,66495,56050
114,eugfashion.com,subdomains,23.227.38.32,,21,7698480,214,189,0,1,215,191,17,41908,41892,67,16,20,0,0,0,14,716,12
115,vapejuicedepot.com,subdomains,23.227.38.32,,45,959522,312,132,0,6,288,239,18,3223,3222,2204,1,9,0,0,0,43,24134,20681
116,bungiestore.com,subdomains,23.227.38.32,,49,715216,1457,1024,0,0,1405,1155,30,27100869,27100783,3494,23,885,0,63,0,0,45085,198076
117,spigen.com,subdomains,23.227.38.32,,65,146973,3507,2488,0,5,3218,2467,22,221484,221273,33044,194,6915,7,4,0,52,145158,341103
118,stratogrow.com,subdomains,23.227.38.65,,0,69530519,8,6,0,0,9,9,7,589,589,5,0,357,0,0,0,0,211,102
119,tokowakaya.com,subdomains,23.227.38.32,,10,16354375,15,7,0,0,14,14,14,178,177,30,1,74,0,0,0,0,148,28
120,afends.com,subdomains,23.227.38.32,,42,1130173,556,453,0,0,443,397,146,8968,8876,599,92,1448,0,0,0,0,15100,11636
121,47brand.com,subdomains,23.227.38.32,,57,318681,997,664,1,11,944,803,49,69472,69283,6399,189,11804,0,0,2,38,94180,95246
122,seavees.com,subdomains,23.227.38.32,,48,776324,804,669,0,1,697,598,124,50062,50005,2024,57,1147,0,0,0,15,6643,8816
123,tiege.com,subdomains,23.227.38.32,,42,1159166,624,331,0,0,640,543,245,15670,15387,4758,283,30,0,0,0,0,30754,55167
124,omgjapan.com,subdomains,23.227.38.32,,83,5743,86841,86689,118,430,38523,23769,31,346136,344802,579,1334,172182,0,0,189,927,28568,18371
125,shopbabychild.com,subdomains,23.227.38.32,,2,44501359,25,4,0,1,19,19,9,71,71,57,0,0,0,0,0,4,746,338
126,simplydolce.com,subdomains,23.227.38.32,,0,163675025,4,1,0,0,4,4,4,10,10,9,0,0,0,0,0,0,123,4
127,uncommonjames.com,subdomains,23.227.38.32,,40,1405363,516,370,0,1,444,354,30,2130,1849,580,281,55,0,0,0,1,6588,23834
128,thefainthearted.com,subdomains,23.227.38.65,,6,23914235,241,222,0,1,237,213,7,57984,57984,78,0,19,0,0,0,35,606,172
129,theproscloset.com,subdomains,23.227.38.32,,51,570917,456,289,0,1,424,371,83,773842,773749,766948,58,105,35,0,0,2,75270,55290
130,uspoloassn.com,subdomains,23.227.38.32,,59,251447,1630,1109,0,1,1560,1249,37,143162,131194,38603,356,86021,2,2,0,1,91593,386071
131,dsrcv.com,subdomains,23.227.38.32,,11,15463417,61,20,0,0,65,63,8,498,494,174,3,6,0,1,0,0,1345,5574
132,jpcontacts.com,subdomains,23.227.38.32,,0,68840649,15,1,0,0,6,6,14,39,39,29,0,8,0,0,0,0,629,122
133,williampainter.com,subdomains,23.227.38.32,,35,2194929,433,330,0,2,434,380,21,49537,49430,448,107,144,0,0,0,28,5558,30811
134,luz.vc,subdomains,23.227.38.65,,55,368327,1137,849,3,8,1013,706,1317,23597,21046,1452,2519,11963,14,9,8,39,152795,254424
135,scandinaviandesigns.com,subdomains,23.227.38.32,,42,1200057,990,659,0,0,713,593,19,22773,20740,2761,2018,1006,0,0,0,0,64824,62064
136,fleshlight.com,subdomains,23.227.38.32,,71,70489,3794,2951,1,7,2983,2281,192,7593315,7591401,34093,1781,6881396,52,55,2,317,29271,259966
137,octobersveryown.com,subdomains,23.227.38.32,,63,183393,1502,1192,0,1,1437,1152,24,64925,64892,4888,29,5605,0,3,0,27,36579,161360
138,charmingcharlie.com,subdomains,23.227.38.32,,70,92924,5248,4590,1,3,2784,1910,13,133544,132992,31601,513,16375,0,0,24,22,25326,223756
139,kulanikinis.com.au,subdomains,23.227.38.32,,25,6192074,23,11,0,0,26,24,9,2280,2276,62,4,4,0,0,0,0,1682,1710
140,justdon.com,subdomains,23.227.38.32,,42,1182372,290,232,0,0,311,289,35,994,989,190,5,4,0,0,0,0,4344,11032
141,superkingmarkets.com,subdomains,23.227.38.32,,34,2555559,436,249,0,1,398,349,72,44437,44348,1001,62,439,27,0,0,2,10430,26714
142,quickmobilefix.com,subdomains,23.227.38.32,,28,4458694,285,114,0,0,303,265,157,20785,20730,18969,51,2146,0,0,0,0,42023,36723
143,cotopaxi.com,subdomains,23.227.38.32,,66,138319,2227,1811,3,9,1857,1489,277,28643,28217,9452,378,4112,2,2,893,61,20377,61060
144,hauslabs.com,subdomains,23.227.38.32,,57,301744,1200,975,0,1,1051,858,13,20901,20820,1052,81,134,0,0,0,1,5061,7177
145,republicwireless.com,subdomains,23.227.38.32,,67,129114,2932,2256,0,11,2322,1766,514,32389,32006,7923,278,3120,3,0,0,72,240604,422334
146,humblehousehold.com,subdomains,23.227.38.32,,40,1322645,203,115,0,0,187,167,11,12735,12727,805,0,43,2,5,0,0,12434,6962
147,loreta.com.au,subdomains,23.227.38.32,,1,54144194,44,19,0,0,48,48,16,243,239,185,4,0,0,0,0,0,4110,6822
148,edensgarden.com,subdomains,23.227.38.32,,55,375855,1308,943,0,1,1098,835,245,65234,64757,4541,469,2835,1,7,0,5678,66284,128332
149,eliquid.com,subdomains,23.227.38.32,,50,669513,711,493,0,3,707,594,73,59022,58962,3685,39,461,0,21,0,39,46236,67708
150,placementseason.com,subdomains,23.227.38.32,,22,6998369,124,55,0,2,115,110,80,2198,2168,925,30,43,0,0,0,578,14377,32229
151,albionfit.com,subdomains,23.227.38.32,,52,484359,1418,1135,0,0,899,703,112,96044,95713,5152,323,62417,0,0,0,0,11778,27165
152,the-citizenry.com,subdomains,23.227.38.32,,57,322560,1287,1070,0,0,984,814,198,26305,26252,6520,53,8547,0,0,0,0,18243,17610
153,cultgaia.com,subdomains,23.227.38.32,,57,296897,1641,1438,0,0,1274,1032,11,19476,19440,3722,36,3660,0,0,0,0,5111,11626
154,onlyanita.com,subdomains,23.227.38.32,,37,1879738,286,236,0,0,255,220,15,2672,1651,247,1021,174,0,0,0,0,1402,1072
155,sourcevapes.com,subdomains,,,30,3469148,272,140,0,0,255,232,8,2619,2589,1320,30,125,0,0,0,0,740,549
156,parachutehome.com,subdomains,23.227.38.32,,71,75147,3109,2610,0,7,2389,1750,602,39783,39500,13839,270,9075,0,4,0,15,47810,81569
157,jeraug.com,subdomains,23.227.38.32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,hellonomad.com,subdomains,23.227.38.32,,71,67219,3302,2612,0,4,3062,2309,480,65110,64934,9133,169,2070,7,0,0,184,31610,37530
159,matadorup.com,subdomains,23.227.38.32,,60,240467,897,671,0,1,813,705,218,9061,8966,1193,95,1260,0,0,0,1,5057,9988
160,honeyresto.com,subdomains,23.227.38.65,,,,1,0,0,0,2,2,1,4,4,4,0,0,0,0,0,0,9,0
161,rorykramer.com,subdomains,23.227.38.32,,16,10933110,64,38,0,1,59,56,10,169,169,60,0,41,0,0,0,1,836,3219
162,greenprono.com,subdomains,23.227.38.65,,,,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,59,69
163,pcgamingrace.com,subdomains,23.227.38.32,,50,661699,879,542,0,1,848,740,203,10956,10921,3123,35,1562,0,0,0,1,36970,117093
164,nativecos.com,subdomains,23.227.38.32,,64,161711,1782,1381,0,1,1441,1079,16,16600,16258,7927,336,2065,2,4,0,2,16040,49446
165,peakdesign.com,subdomains,23.227.38.32,,72,60119,4331,3532,0,4,3782,2760,87,232971,232053,12611,742,52579,48,9,0,7221,32985,99413
166,gonoise.com,subdomains,23.227.38.32,,37,1764508,315,155,0,0,318,282,25,65352,64996,63420,356,62889,0,0,0,0,7770,29905
167,holotaco.com,subdomains,192.64.119.30,,10,16338088,294,148,0,0,309,273,9,22225,22193,1840,0,7,0,0,0,0,7956,17461
168,relxnow.com,subdomains,23.227.38.32,,19,8514158,85,35,0,0,78,74,11,610,596,146,14,14,0,0,0,0,677,4309
169,dope.com,subdomains,23.227.38.32,,31,3217962,401,275,0,2,430,376,82,7431,7375,1020,56,677,0,0,0,5,4603,15436
170,monamoore.com,subdomains,23.227.38.32,,35,2259661,490,405,1,4,338,301,26,87831,87801,2028,30,155,0,0,2,19,1475,701
171,motelrocks.com,subdomains,23.227.38.32,,59,260781,4318,3889,0,1,1910,1311,19,229174,228852,22770,319,86539,0,0,0,7,36500,77968
172,boombycindyjoseph.com,subdomains,23.227.38.32,,55,376737,701,438,0,3,594,517,39,5790,5745,2446,42,322,0,1,0,55,6010,31250
173,relationsracewheels.com,subdomains,23.227.38.32,,3,33354376,70,11,0,0,66,60,20,605,602,450,3,2,0,0,0,0,3953,1755
174,happiestbaby.com,subdomains,23.227.38.32,,70,81153,3634,3145,4,9,2498,1976,238,57725,57195,2758,234,808,3,283,8,54,199503,182738
175,retrosupply.co,subdomains,23.227.38.32,,64,160029,550,354,0,0,574,497,402,25461,25382,1110,74,18586,0,2,0,0,36467,58787
176,hubblecontacts.com,subdomains,23.227.38.32,,53,471112,708,457,1,1,687,563,30,4189,4152,2008,19,209,0,0,1,1,6919,76447
177,vivejuicery.com,subdomains,23.227.38.65,,25,5566194,84,61,0,0,87,74,10,565,565,122,0,4,0,0,0,0,269,361
178,soylent.com,subdomains,23.227.38.32,,72,60029,4268,3374,1,18,3843,2886,196,91462,91258,7683,127,4472,0,0,1,66,22982,206460
179,toddsnyder.com,subdomains,23.227.38.32,,56,337736,1671,1381,2,1,1616,1356,191,67413,67239,12240,170,11086,0,1,6,21,33086,27596
180,kawsone.com,subdomains,23.227.38.32,,56,345709,2204,2023,0,6,1293,1079,3,145410,145396,1068,10,404,4,0,0,34,1905,23748
181,amyojewelry.com,subdomains,23.227.38.32,,25,5861094,138,81,0,0,141,124,15,2938,2875,373,63,193,0,0,0,0,827,237
182,easysmx.com,subdomains,23.227.38.32,,28,4115065,233,106,0,0,237,213,0,2837,2745,841,92,945,0,0,0,0,6602,5155
183,hygoshop.com,subdomains,23.227.38.32,,52,531072,210,141,0,0,117,110,9,1918,1914,945,2,151,0,2,0,0,13838,10976
184,lovisa.com,subdomains,23.227.38.32,,52,516704,1360,1176,0,0,907,750,23,38909,37886,9683,1021,20961,1,0,0,0,97309,145815
185,vuoriclothing.com,subdomains,23.227.38.32,,45,957028,645,504,0,0,582,507,60,8478,8424,1171,46,516,0,8,0,0,15083,11183
186,vincerowatches.com,subdomains,23.227.38.32,,45,952772,802,411,0,0,893,704,68,15715,15223,9482,484,1200,0,1,0,0,34675,93375
187,clevermoda.us,subdomains,23.227.38.32,,1,57721325,32,14,0,0,33,33,11,212,212,165,0,21,0,0,0,0,1150,2118
188,radpowerbikes.com,subdomains,23.227.38.32,,53,472169,1104,731,2,6,1091,895,165,15367,15299,3129,60,738,1,0,20,15,18196,49013
189,trysnow.com,subdomains,23.227.38.32,,44,988797,575,404,0,1,565,491,75,127679,127652,911,25,3261,2,0,0,8,7139,4406
190,moonjuice.com,subdomains,23.227.38.32,,67,128476,2353,2069,0,2,1686,1312,90,58309,57480,1834,821,457,0,8,0,5,11583,32301
191,headphonezone.in,subdomains,23.227.38.32,,52,497285,737,391,0,2,756,546,175,17145,16969,2530,36,528,0,0,0,3,80937,133592
