IP Range,23.227.38.0 - 23.227.38.255,,https://myip.ms/browse/sites/1/ipID/23.227.38.0/ipIDii/23.227.38.255/sort/6/asc/1#top,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Domain Info,,,,,,,,,,,,,,,,,SEO,,,,,,
No,Web Site,Website IP Address,Web Hosting Company / IP Owner,Web Hosting / Server IP Location,Web Hosting City,World Site Popular Rating,World Site Popular Rating (MyIP),Alexa Global Ranking,TLD,Company Name (Clearbit),Description (Clearbit),Selling?,Country (Clearbit),Category,SIC (Standard Industrial Classification),NAICs,Estimated Revenue (Clearbit),Reported Revenue (Clearbit),Brand Search Volume (Keywords Everywhere),Referring Domains (Ahrefs),Backlinks (Ahrefs),Keywords (Ahrefs),Traffic (Ahrefs)
11,childofwild.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 7,604","7,604",53797,com,Child of Wild,"Eclectic and Cultural Jewelry and Objects, Vintage Native American Jewelry, Designed Cow Skulls, Sterling Silver Turquoise Rings, One of a kind oddities",Jewelry,US,Consumer Discretionary,Retail-Miscellaneous Retail,RetailTrade,$0-$1M,,4400,612,17086,7711,5354
12,jeffreestarcosmetics.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 7,899","7,899",1636,com,Jeffree Star,Jeffree Star Cosmetics is an American cosmetics company founded and owned by Jeffree Star.,Cosmetics,US,Cosmetics,Retail-Miscellaneous Retail,RetailTrade,,,1830000,2820,37609,89115,562661
13,giuliofashion.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 8,530","8,530",7878,com,Giulio Fashion,"Established in 1982, GIULIO is home to luxury & contemporary fashion for men and women in Cambridge, UK. Shop in our store or online for the finest designer clothing, footwear and accessories. Stockists of Gucci, Christian Louboutin, Off-White, Givench...",Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,880,147,2603,3979,1039
14,gymshark.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 9,907","9,907",5978,com,Gymshark,"Shop Gymsharkâ€™s range of unique workout essentials, exclusively online. Quality gym wear. Free returns & free shipping on orders over $75.",Athletic apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,2240000,2562,27232,153290,1157561
15,reddressboutique.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 10,293","10,293",7370,com,Red Dress Boutique,"Dress to impress with Red Dress Boutique's unique collection of stylish dresses, shoes, tops, accessories, and more! From timeless classics to bold statement pieces, shop our latest style trends and limited edition items. âœ“Going Fast!",Apparel,US,Retailing,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,90500,1786,90016,75984,77509
16,lakenzie.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 11,301","11,301",21867,com,,,Apparel,,Consumer Discretionary,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,47,234,2631,4505
17,swaggsauce.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 11,547","11,547",64415,com,AZ Swagg Sauce,"Swagg Sauce, manufacturer of the finest premium vape juice and salt nicotine ingredients crafted with our signature flavor blends and eliquid online. Premium grade vape juice, candy, cream, custard, dessert, fruit, tobacco, menthol and more.",Vape Supplies,US,Consumer Discretionary,Tobacco Products,Manufacturing,,,390,693,68830,9533,5227
18,fab.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 12,199","12,199",14168,com,Fab.com,Fab is an e-commerce company founded in 2010.,Wellness,US,Internet,Chemicals & Allied Products,Manufacturing,$10M-$50M,,,10445,471423,2792,16814
19,balr.jp,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 12,490","12,490",21976,jp,BALR.,The Official Twitter-account of BALR. - A luxurious lifestyle brand. #balr #teambalr,Apparel,JP,,,,,,,42,235,123,355
20,inspireuplift.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 12,695","12,695",12160,com,Inspire Uplift,"From home good products to beauty and health gear, to clothing and electronics, you can find a wide variety of goodies that will inspire you to live your best life. And if you donâ€™t want to leave out your furry friends, we even have a section of innova...",Assorted,US,Internet,"Services-Engineering, Accounting, Research, Management","Professional, Scientific, and Technical Services",,,310,743,107932,34108,31351
21,thirdlove.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 13,575","13,575",24569,com,ThirdLove,"The best bra is one you never think about. Find your perfect fit today. Available in cup sizes AA through I, bands 30 to 48, including our signature 1/2 Cupâ„¢ sizes.",Lingerie,US,"Apparel, Accessories & Luxury Goods",Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$10M-$50M,,301000,3534,177651,75922,310949
22,beeinspiredclothing.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 14,017","14,017",6821,com,Bee Inspired Clothing,"B33 Designer Global Streetwear Brand Available Worldwide. The Freshest Styles, Inspired By Life. Premium Footwear, Jeans, Tees, Jackets, Hoods & Sweats.",Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,9900,153,3574,5946,25960
23,sisterjane.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 14,663","14,663",10853,com,Sister Jane,London-based womenswear label. Vintage-inspired accessible design with a high-end look & feel.,Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,22200,548,4864,3878,6479
24,kingice.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 14,689","14,689",17780,com,King Ice,"King Ice offers high quality hip hop jewelry exclusively designed inspired by urban culture. Find the latest in streetwear jewelry, hip hop style chains, bling earrings, bracelets, pendants, watches & more at King Ice.",Jewelry,US,Consumer Discretionary,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,90500,1064,65225,54838,90681
25,aloyoga.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 14,694","14,694",20001,com,Alo Yoga,"Shop the best yoga wear & accessories for yoga and working out. Wear-tested by yogis for the best fit. Shop celeb-approved yoga pants, workout tights, leggings, capris & lounge for women & men at aloyoga.com.",Yoga,US,,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,110000,2036,90385,26536,119015
26,usatuan.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 14,855","14,855",5988,com,,,Medical,,,,,,,,39,274,1,0
27,kith.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 15,458","15,458",12368,com,KITH,"Sneakers, apparel, shoes, boots, Ronnie Fieg, ASICS, Nike, Mercer Pant, Bleecker, Gel Lyte, adidas, Just Us, Filling Pieces, New Balance, Jordan, Kithstrike",Apparel,US,Consumer Staples,,Other Services (except Public Administration),$10M-$50M,,246000,3426,100651,213158,241283
28,lackofcolor.com.au,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 15,683","15,683",26450,com.au,Lack of Color,Lack Of Color is an Australian label that produces a range of high quality and affordable women's & men's hats available in seasonal colours and styles.,Apparel,AU,Consumer Staples,Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,,,27100,1460,17586,5293,5875
29,brooklinen.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 15,724","15,724",32678,com,Brooklinen,"The best way to outfit your bedroom. Luxury bed sheets, pillows, comforters, & blankets delivered straight to your door.",Sheets,US,Consumer Discretionary,Household Furniture,Manufacturing,$10M-$50M,,90500,2023,35832,34702,75445
30,gfuel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 16,216","16,216",31884,com,G FUEL,"Crush your competition today with G FUEL: The Official Energy Drink of EsportsÂ®. Available in 20+ lip-smacking flavors. Trusted by PewDiePie, FaZe Clan, Roman Atwood, Dr. Disrespect, Keemstar and more!",Beverage,US,Renewable Energy,"Electric, Gas & Sanitary Services",Utilities,$10M-$50M,,135000,1972,161661,69034,446930
31,dailysteals.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 16,452","16,452",29596,com,Daily Steals,"Shop Daily Steals for discounts and deals on cellphones, designer fashion, home goods, electronics and everything in between.  Get FREE SHIPPING on all orders!",Deal site,US,Internet Software & Services,Retail-Miscellaneous Retail,RetailTrade,,,14800,2485,47118,95339,40148
32,ghospell.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 17,449","17,449",152380,com,,GHOSPELL is a london-based fashion brand that explores urban and bohemian elements of a modern lifestyle.,Apparel,,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,56,957,726,149
33,creativebooster.net,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 17,452","17,452",43291,net,CreativeBooster,"Handcrafted professional graphic design freebies like fonts, mockups, templates and graphics. Easy downloads via email.",Design templates,,,Services-Advertising,"Professional, Scientific, and Technical Services",,,0,996,61513,54144,153033
34,thecriticalslidesociety.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 17,852","17,852",83994,com,The Critical Slide Society,"The Critical Slide Society, TCSS is an art based surf brand designed in Australia, specialising in Boardshorts, T-shirts, Wetsuits & Accessories.",Apparel,,,Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,,,1600,371,17971,2451,5512
35,whitefoxboutique.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 17,937","17,937",20443,com,White Fox Boutique,International Label & Online Store,Apparel,AE,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,110000,757,112670,35898,208296
36,cymatics.fm,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 17,977","17,977",26212,fm,Cymatics.fm,"The #1 site for Serum presets, Samplepacks, &amp; more. Find your sound, and take your music production to the next level today!",Music,US,Movies & Entertainment,Electronic & Other Electrical Equipment (No Computer Equip),Manufacturing,$1M-$10M,,,1009,11372,82841,211180
37,zgla.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 18,035","18,035",32791,com,ZGLA,"Up your case game with Zero Gravity iPhone cases. We give personality to your phone with the best cases for 7, 7 Plus, 8, 8 Plus and iPhone X.",Phone accessories,US,,Agricultural Services,"Agriculture,Forestry,FishingandHunting",$1M-$10M,,390,418,3032,2484,3550
38,mclabels.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 18,086","18,086",19482,com,MCLabels,"MCLABELS.COM I Unique Fashion Luxury Destination. I 1000+ brands I New arrivals everyday I Worldwide shipping with express courier I 24h Customer Care I Free Returns + 30 days policy I The widest luxury selection available online I Clothing, Shoes, Bag...",Apparel,IT,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,880,132,2402,839,99
39,huel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 18,715","18,715",30566,com,Huel,Huel is a nutritional powdered food and the name of the company distributing the product.,Meal substitute,GB,Food,Retail-Food Stores,Accommodation and Food Services,$1M-$10M,,4300,1775,51557,32980,103552
40,andi-bagus.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 18,762","18,762",70347,com,andibagus,"Andi Bagus is an eclectic mix of swimwear, crochet pieces, clothing, bikinis and accessories made in Bali by local artisans. We are exclusively an online store.",Swimwear,,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,0,296,49508,4059,4763
41,cartots.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 19,141","19,141",34392,com,Car Tots,"Toddler Electric Remote Control Ride On Cars, jeeps, trucks, SUVs, UTVs, Ride On Electric Cars, Push Cars, Pedal Cars, Ride On Trucks, Toddler Cars, Baby Cars",Cars for children,,,Retail-Auto Dealers & Gasoline Stations,RetailTrade,,,480,605,47448,6297,4304
42,themusiczoo.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 20,174","20,174",24574,com,The Music Zoo,"Online guitar store specializing in New, Used, Custom and Vintage Guitars. Gibson, Fender, Taylor & Martin Dealer! Safe & secure checkout, fast shipping and financing available. Visit our incredible showroom in Farmingdale, New York on Long Island. Tra...",Guitars,US,Retailing,Retail-Miscellaneous Retail,RetailTrade,,,3600,1684,134996,97233,47074
43,riccardiboston.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 20,178","20,178",175644,com,Riccardi,"Shop Riccardi's specialty menswear and womenswear collections, from luxury brands like Givenchy & Saint Laurent to the latest in street fashion like Off-White.",Swimwear,US,Consumer Goods,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,6600,161,1447,1143,792
44,rmattress.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 20,294","20,294",53523,com,,,Mattresses,US,Consumer Discretionary,"Retail-Home Furniture, Furnishings & Equipment Stores",RetailTrade,,,,95,974,760,145
45,zinus.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 20,527","20,527",65743,com,Zinus,Where mattresses are marshmallows and bed frames snap together in seconds. Welcome to the world of wonder.,Mattresses,US,Consumer Discretionary,Household Furniture,Manufacturing,$10M-$50M,,1300,668,6611,30033,92608
46,outdoorvoices.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 20,903","20,903",31118,com,Outdoor Voices,"Outdoor Voices makes activewear for Doing Things daily â€” dog walks, runs, and yoga included. Free US shipping & returns.",Activewear,US,Consumer Staples,,"Professional, Scientific, and Technical Services",$10M-$50M,,135000,3486,247736,15337,113020
47,zpacks.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 21,075","21,075",81987,com,Zpacks,Zpacks Offers Lightweight Backpacking Gear: Ultralight Dyneema Composite Fabric / Cuben Fiber Tents Tarps Backpacks Down Sleeping Bags Rain Gear. The clear choice for hikers looking for the lightest minimalist solutions for outdoor equipment.,Camp gear,US,Consumer Discretionary,Services-Advertising,"Professional, Scientific, and Technical Services",$1M-$10M,,49500,1418,165512,21535,46736
48,proozy.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 21,237","21,237",21226,com,Proozy,"Shop Proozy for discount and clearance apparel, footwear and gear from leading retail brands, like Under Armour, Nike, Birkenstock, Oakley and more. Free shipping on all orders of $50+, new deals updated every day, and a hassle-free return policy! All ...",Deal site,US,Consumer Discretionary,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,8100,622,73274,21187,31873
49,vitalproteins.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 21,653","21,653",31626,com,Vital Proteins,"We believe that whole food based nutrition containing collagen powder and beef gelatin is essential for oneâ€™s overall health, fitness and wellbeing.",Collagen bars,US,Health & Wellness,Food and Kindred Products,Manufacturing,$50M-$100M,,340,3940,175861,12901,35260
50,vitalydesign.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 21,668","21,668",16976,com,Vitaly,Accessory Architects. An experimental design movement.,Jewelry,,Consumer Discretionary,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,246000,343,2989,5264,26523
51,axparis.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 21,910","21,910",100525,com,AX Paris,"Axparis.com is a womenâ€™s online fashion website, bringing you the latest in Celebrity & High Street clothing! Shop our collection of womenâ€™s clothes, dresses, tops, trousers, skirts, coats, knitwear, shoes & accessories today.",Apparel,GB,"Apparel, Accessories & Luxury Goods",Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$0-$1M,,135000,3059,65493,54928,109519
52,isawitfirst.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 22,176","22,176",49095,com,ISAWITFIRST.com,"Shop the latest women's fashion at I Saw It First. 100s of new styles every week! Clothes, Dresses, Shoes & Accessories. Must have looks and trends from only Â£5",Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$10M-$50M,,,1131,29091,51366,144906
53,amrstore.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 22,549","22,549",14366,com,,"Fashion brands: clothing, accessories, shoes and bags. Choose your look! Discover our new daily Arrivals and Sales.",Apparel,,,,,,,,53,128,1071,121
54,dezzn.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 22,553","22,553",29450,com,Dezzn,"Dezzn offers the essential clothing that you should have in your closet. Fashion allows you to truly express yourself in numerous ways. In here at Dezzn.com, you can discover What's New, What's Hot and What's Chic. We hope you can enjoy shopping on Dezzn.",Apparel,,Consumer Discretionary,Services-Advertising,"Professional, Scientific, and Technical Services",,,0,34,125,47,12
55,behearty.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 22,659","22,659",25850,com,,Super Low Prices on Popular Electronics Items. Check Back Daily For New Deals &amp; Arrivals!,Electronics,,Consumer Discretionary,Retail-Miscellaneous Retail,RetailTrade,,,,72,722,227,37
56,kyliecosmetics.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 22,690","22,690",26330,com,Kylie Cosmetics,Kylie Cosmetics is an American cosmetics company founded and owned by Kylie Jenner.,Cosmetics,US,Cosmetics,Chemicals & Allied Products,Manufacturing,,,180000,7360,124985,137177,1156606
57,vapor.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 22,707","22,707",46103,com,vapor.com,"Online vaporizer shop offering the largest selection of vaporizers, vape pens, and smoking accessories. Free shipping on orders over $48!",Vape Supplies,US,Internet Software & Services,,Manufacturing,,,,2526,417802,35598,84875
58,ttrshop.net,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 23,068","23,068",258033,net,,,Assorted,,,,,,,,3,5,3,1
59,giovoss.store,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 23,085","23,085",855444,store,,"On Gio Voss, you can find all the clothes and accessories a fashionable man needs. Fashion is not just a word - fashion is an approach and a lifestyle.",Apparel,,,,,,,,24,919,174,501
60,triple-deal.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 23,240","23,240",530006,com,SAMU FOODS & BEV..,Triple Deal is a producer of all healthy samu food & beverages. It is crucial for human beings to eat and stay healthy. We make food healthier for you. Order now.,Assorted,,,,,,,,62,953,104,7
61,livefitapparel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 23,309","23,309",64973,com,Live Fit. Apparel,Shop here for all of the latest Live Fit. Apparel styles!,Apparel,,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,,510,48820,6089,28822
62,zoofashions.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 23,327","23,327",13316,com,ZOOFASHIONS,"Established in 1982, Zoo Fashions has been dressing its affluent and fashion forward clientele for over 35 years. Mens luxury designer clothing store.",Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,590,127,51108,4071,2238
63,buffy.co,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 23,390","23,390",72062,co,Buffy,Try the perfect comforter is yours to try for 30 nights! We only charge you if you choose to keep it. Free delivery and returns.,Sheets,US,Consumer Discretionary,Services-Advertising,"Professional, Scientific, and Technical Services",$10M-$50M,,110000,688,7062,6624,9664
64,blacktailor.store,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 23,547","23,547",10195,store,,"Offering the latest cargo streetwear, premium quality at a fair price. Free worldwide shipping for all orders.",Apparel,,,,,,,,49,214,1174,885
65,guapi.ch,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 23,657","23,657",53096,ch,Guapi Clothing,We believe there is strength through unity and intend to shape the world around us â€“ not be shaped by it.,Apparel,CH,,Federal & Federally Sponsored Credit Agencies,FinanceandInsurance,,,1300,45,977,214,687
66,davinks.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 23,910","23,910",,com,,,Unknown,,,,,,,,12,73,0,0
67,techdudes561.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 24,133","24,133",89689,com,,"Shop Tech Dudes 561 for the lowest prices on electronics and great selection of cell phones, computers, tablets & much more.",Electronics,US,,,,,,,9,38,267,4
68,sinnersattire.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 24,205","24,205",26773,com,Sinners Attire,Sinners Attire Are An Urban Streetwear Brand Offering A Wide Range Of Clothing. A Leading Brand In UK Fashion. Take A Look At Our Popular Selections Today.,Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,14800,135,619,2396,6590
69,nomatic.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 24,319","24,319",39171,com,NOMATIC,"At NOMATIC, we create minimalist products like travel bags, backpacks, watches, notebooks and wallets. Check out our many different minimalist products and place an order today!",Travel gear,US,Design,Chemicals & Allied Products,Manufacturing,$1M-$10M,,27100,787,18383,9573,31393
70,bombas.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 24,336","24,336",29536,com,Bombas,"Bombas is a comfort focused sock and apparel brand with a mission to help those in need. One purchased = one donated, always and forever.",Socks,US,"Apparel, Accessories & Luxury Goods",Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,$10M-$50M,,190000,2849,66033,38426,100819
71,culturekings.com.au,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 24,585","24,585",23390,com.au,Culture Kings,"Culture Kings world famous for Streetwear, Music and Sport. Shop Footwear, Clothing, Headwear and Accessories from all the latest streetwear brands.",Apparel,AU,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$10M-$50M,,368000,960,14174511,194522,288337
72,keilhub.com,23.227.38.65,"Shopify, Inc",Canada,Ottawa,"# 25,361","25,361",53063,com,,,Apparel,,,,,,,,20,414,121,3
73,urbanindustry.co.uk,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 25,370","25,370",22374,co.uk,Urban Industry,"Urban Industry, Stocking premium streetwear clothing & trainers from Nike, adidas, Stussy, Levis and many more. Based in Eastbourne, East Sussex, United Kingdom",Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,27100,1160,45883,19088,39976
74,unifclothing.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 25,752","25,752",17185,com,UNIF,Shop all the latest UNIF collections as well as online exclusives! Enjoy Free Shipping on ALL U.S. orders $75+ and ALL International orders over $200.,Apparel,US,"Apparel, Accessories & Luxury Goods",Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,110000,1684,193760,11792,150613
75,wearfigs.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 25,778","25,778",42982,com,FIGS,"FIGS is an American online medical apparel retailer based in Los Angeles, California.",Medical apparel,US,"Apparel, Accessories & Luxury Goods","Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing,$10M-$50M,,550000,1521,12706,26071,73418
76,hawkersco.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 26,089","26,089",109115,com,Hawkers Co.,Hawkers is a Spanish brand based in Elche that sells sunglasses using the Internet as its distribution channel.,Sunglasses,ES,"Apparel, Accessories & Luxury Goods",Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$10M-$50M,,,1703,81331,28428,203580
77,citiesocial.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 26,131","26,131",20216,com,citiesocial,"citiesocial, æ‰¾å¥½æ±è¥¿, ç²¾é¸è³¼ç‰©, è¨­è¨ˆ, é€ç¦®, ç¦®ç‰©, é–ƒè³¼, é€²å£å•†å“, ç¨å®¶, æŠ˜æ‰£, é«˜å“è³ª, å±…å®¶, kickstarter, å±…å®¶, ç”Ÿæ´», æµè¡Œ, é…ä»¶, design, lifestyle",Assorted,TW,Retailing,,,$0-$1M,,0,726,36325,12613,23550
